strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Luxembourg/LNS0000001/2020	EPI_ISL_419562		Laboratoire National de Santé, Microbiology, Virology	Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino et al
hCoV-19/NewZealand/20VR1928/2020	EPI_ISL_456312	MZ332081.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Ecuador/USFQ-485/2020	EPI_ISL_660533		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/NewZealand/20VR1949/2020	EPI_ISL_456319	MZ332096.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Aruba/AW-RIVM-10326/2020	EPI_ISL_636513		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/KS-KHEL-2570/2020	EPI_ISL_2612176		Kansas Health and Environmental Lab	Kansas Health and Environmental Lab	Mike Grose et al
hCoV-19/Ukraine/203100365/2020	EPI_ISL_512643		National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Panama/GMI-PA461331/2020	EPI_ISL_1225547		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Uganda/UG048/2020	EPI_ISL_737966		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/Belarus/ChVir21846/2020	EPI_ISL_860808		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Belarus/ChVir21863/2020	EPI_ISL_860811		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Colombia/DC-C102/2020	EPI_ISL_2339876		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
hCoV-19/USA/KY-KSPHL-100037/2020	EPI_ISL_966372		Kentucky State Public Health Lab	Kentucky State Public Health Lab	Stephanie Lunn et al
hCoV-19/Haiti/34019/2020	EPI_ISL_2157362		Laboratoire National de Santé Publique – LNSP (HAITI - LNSP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
hCoV-19/Haiti/18249/2021	EPI_ISL_2157369		Laboratoire National de Santé Publique – LNSP (HAITI - LNSP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
hCoV-19/Colombia/COR-INS-VG-1389/2021	EPI_ISL_1494945		LABORATORIO CLINICO IMAT SAS	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/Colombia/HUI-INS-VG-4802/2021	EPI_ISL_3459390		HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO (HUHMP	Instituto Nacional de Salud	Katherine Laiton-Donato et al A
hCoV-19/CostaRica/INC-0621/2021	EPI_ISL_2657686		INCIENSA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Venezuela/Zul6567/2021	EPI_ISL_2628310	MZ611975.1	IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Ecuador/USFQ-1926/2021	EPI_ISL_3505581		Center for Research on Health in Latin America	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/USA/AZ-TG874474/2021	EPI_ISL_2454609		TGen North	TGen North	Jolene Bowers et al
hCoV-19/USA/DE-Curative-051376/2021	EPI_ISL_3273252		Curative Labs	Curative Labs	Mikhail Hanewich-Hollatz et al
hCoV-19/Colombia/DC-INSV-H-6758/2021	EPI_ISL_3459414		INS	Instituto Nacional de Salud	Katherine Laiton-Donato et al A
hCoV-19/Venezuela/Z3094/2021	EPI_ISL_3507367		Instituto Venezolano de Investigaciones Científicas	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Curacao/CW-RIVM-35049/2021	EPI_ISL_2405505		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-35060/2021	EPI_ISL_2405516		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Colombia/LAG-INS-VG-3799/2021	EPI_ISL_2828052		E.S.E. HOSPITAL SAN JOSE DE MAICAO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/USA/NJ-NYGC-S-JF-6303-WFZB889/2021	EPI_ISL_3246857		Hackensack Medical Center	New York Genome Center	Michael Zody et al
hCoV-19/Mexico/TAM-InDRE_FB22607_S5496/2021	EPI_ISL_3460002		LESP Tamaulipas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/AGU-InDRE_FB22215_S5276/2021	EPI_ISL_3459998		LESP Aguascalientes	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Ecuador/NIC-INSPI-1839-2157/2021	EPI_ISL_3133213		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Colombia/MAG-INS-VG-3615/2021	EPI_ISL_3372558		CENTRO DE GENETICA Y BIOLOGIA MOLECULAR UNIVERSIDAD DEL MAGDALENA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/Aruba/AW-RIVM-35126/2021	EPI_ISL_2405582		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-39229/2021	EPI_ISL_2610690		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Colombia/ANT-CWOHC-VG-PSEC01119A/2021	EPI_ISL_3276568		Ayudas Diagnosticas Sura	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
hCoV-19/Colombia/BOY-INS-VG-3931/2021	EPI_ISL_3385841		LDSP BOYACA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/USA/AK-PHL9117/2021	EPI_ISL_2421694		Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al
hCoV-19/Mexico/ROO-InDRE_FB17186_S3439/2021	EPI_ISL_2800938		LESP Quintana Roo	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Ecuador/NIC-INSPI-1813-1989/2021	EPI_ISL_3133183		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Curacao/CW-RIVM-43128/2021	EPI_ISL_3056750		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/DominicanRepublic/Yale-6298/2021	EPI_ISL_3236451		Instituto de Medicina Tropical & Salud Global Universidad Iberoamericana	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
hCoV-19/Curacao/CW-RIVM-43118/2021	EPI_ISL_3056740		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/DominicanRepublic/UNIBE002/2021	EPI_ISL_2601035		Instituto de Medicina Tropical & Salud Global, Universidad Iberoamericana (UNIBE)	Instituto de Medicina Tropical & Salud Global, Universidad Iberoamericana (UNIBE)	Victor Virgilio Calderón et al
hCoV-19/Mexico/HID-InDRE_FB17889_S3840/2021	EPI_ISL_2861173		LESP Hidalgo	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Colombia/DC-VACINSCOV-3-0340/2021	EPI_ISL_3385771		COLCAN	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/Colombia/ATL-INS-VG-4908/2021	EPI_ISL_3462749		LABORATORIO CLINICO BIO-TEST	Instituto Nacional de Salud	Katherine Laiton-Donato et al A
hCoV-19/Colombia/SUC-CWOHC-VG-PSEC01484B/2021	EPI_ISL_3671010		Universidad de Sucre	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López et al
hCoV-19/Colombia/CHO-INS-VG-3183/2021	EPI_ISL_2500954		Instituto Nacional de Salud	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
hCoV-19/Aruba/AW-RIVM-39178/2021	EPI_ISL_2610639		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-39197/2021	EPI_ISL_2610658		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/AR-CDC-4115608-001/2021	EPI_ISL_2322753	MZ295200.1	AR Dept. of Health-PHL, Molecular Diagnostics	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
hCoV-19/Colombia/ANT-CWOHC-VG-PSEC01365M/2021	EPI_ISL_3671000		Hospital Fundacion San Vicente de Paul	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Simón Villegas Velásquez et al
hCoV-19/Ecuador/USFQ-1962/2021	EPI_ISL_3506202		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Fernanda Zurita et al
hCoV-19/Curacao/CW-RIVM-33287/2021	EPI_ISL_2303943		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00708F/2021	EPI_ISL_2621168		ICMT-APARTADO	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
hCoV-19/Colombia/ANT-CWOHC-VG-SEC01343Q/2021	EPI_ISL_3276650		Universidad Nacional de Colombia - Laboratorio Genómico One Health	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López et al
hCoV-19/Venezuela/Bar6904/2021	EPI_ISL_3507369		Instituto Venezolano de Investigaciones Científicas	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Colombia/VAC-INS-VG-4601/2021	EPI_ISL_3320732		Hemato Oncologos	Instituto Nacional de Salud	Katherine Laiton-Donato et al A
hCoV-19/CostaRica/INC-0808/2021	EPI_ISL_3274365		AREA DE SALUD MATA REDONDA-HOSPITAL - CLINICA DR. MORENO CAÑAS [SAN JOSE/SAN JOSE]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Bonaire/BQ-RIVM-35139/2021	EPI_ISL_2405596		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-39010/2021	EPI_ISL_2610471		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-35094/2021	EPI_ISL_2405550		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/France/IDF_HB_112002103234/2020	EPI_ISL_940534		Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al
hCoV-19/Rwanda/NRLNAT2054/2020	EPI_ISL_960302		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT1078/2020	EPI_ISL_925907		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT1077/2020	EPI_ISL_925906		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT1070/2020	EPI_ISL_925902		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Uruguay/UY-NYUMC876/2020	EPI_ISL_457972		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
hCoV-19/Uruguay/UY-NYUMC939/2020	EPI_ISL_480437		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
hCoV-19/Colombia/AMA-GUR-06743/2020	EPI_ISL_941119		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
hCoV-19/Hungary/SRC-00572w/2020	EPI_ISL_435431		Virological Research Group, Szentágothai Research Centre	Bioinformatics Research Group, Szentágothai Research Centre	Péter Urbán et al
hCoV-19/Spain/PV-IBV-98008454/2020	EPI_ISL_654547		Servicio de Microbiología. Hospital Universitario Donostia. OSI Donostialdea. Área de Enfermedades Infecciosas, Grupo de Infección Respiratoria y Resistencia Antimicrobiana. Instituto de Investigación Sanitaria Biodonostia	SeqCOVID-SPAIN consortium/IBV(CSIC)	Gustavo Cilla Eguiluz et al
hCoV-19/Bulgaria/21BG-NC_A000037/2020	EPI_ISL_2081904		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Bulgaria/21BG-NC_A000041/2020	EPI_ISL_2081908		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Cameroon/Bafoussam-20v-8575/2020	EPI_ISL_1001057		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
hCoV-19/Bangladesh/G-38/2020	EPI_ISL_600562		Institute of Epidemiology Disease Control And Research	Institute for Developing Science and Health Initiatives	Lauren Cowley et al
hCoV-19/Senegal/9819/2020	EPI_ISL_498233		Institut Pasteur de Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
hCoV-19/Senegal/6626/2020	EPI_ISL_498229		Institut Pasteur de Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
hCoV-19/env/Morocco/SW5/2020	EPI_ISL_933719		Laboratoire de Recherche et d'Analyses Medicales de la Gendarmerie Royale	Laboratoire de Recherche et d'Analyses Medicales de la Gendarmerie Royale	Sanaâ Lemriss et al
hCoV-19/Italy/LAZ-AMC-2009145026-DS/2020	EPI_ISL_1855035		Virology Laboratory, Scientific Department, Army Medical Center	Virology Laboratory, Scientific Department, Army Medical Center	Silvia Fillo et al
hCoV-19/Suriname/SR-29/2020	EPI_ISL_517640		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Suriname/SR-05/2020	EPI_ISL_517616		Academic Hospital Paramaribo	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Suriname/SR-80/2020	EPI_ISL_2502529		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Cameroon/Ebolowa-20v-13106/2020	EPI_ISL_1001067		Centre Pasteur du Cameroun	Institut Pasteur de Dakar	Njouom Richard et al
hCoV-19/Congo/FCRM-59-A9-26-04/2021	EPI_ISL_3342568		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Indonesia/JK-NIHRD-MI2105505/2021	EPI_ISL_1915538		National Institute of Health Research and Development	National Institute of Health Research and Development	Subangkit et al
hCoV-19/RepublicoftheCongo/RC-003/2021	EPI_ISL_2978188		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Rwanda/NRLNAT4055/2021	EPI_ISL_2521992		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Belgium/rega-8421/2021	EPI_ISL_2833285		KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
hCoV-19/Poland/PL_RCNT_Z40836/2020	EPI_ISL_3664350		Regional Science and Technology Center	Regional Science and Technology Center	Łukasz Madej et al
hCoV-19/Belgium/MR71NY2535/2020	EPI_ISL_3138690		Microbiology Department - University Hospital Brussel	Microbiology Department - University Hospital Brussel	Thomas Demuyser et al
hCoV-19/Canada/NS-NML-5524/2020	EPI_ISL_1055688		QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Uganda/UG055/2020	EPI_ISL_737972		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/Congo/Q001C108AX_2101-TM-r1-022/2020	EPI_ISL_912372		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	NGS Competence Center Tuebingen, Institut für Medizinische Mikrobiologie und Hygiene, Universitaetsklinikum Tübingen	Angel Angelov et al
hCoV-19/Guinea/CERFIG-1338/2020	EPI_ISL_788935		Centre de Recherche et de Formation en Infectiologie Guinée	TransVIHMI, IRD/INSERM/Monpellier University	Alpha Kabinet KEITA et al
hCoV-19/Guatemala/GUA-LNS-48174/2020	EPI_ISL_2826979		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Ukraine/203100350/2020	EPI_ISL_512629		National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Estonia/Cov7316/2021	EPI_ISL_2642772	OU278366.1	SYNLAB Eesti OÜ	Department of Microbiology, Institute of Biomedicine and Translational Medicine, University of Tartu	Radko Avi et al
hCoV-19/Mexico/YUC-InDRE-95/2020	EPI_ISL_861419		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Fabiola Garces-Ayala et al
hCoV-19/Austria/CeMM1350/2020	EPI_ISL_853898		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Bangladesh/CHRF-0011/2020	EPI_ISL_492028		Child Health Research Foundation	Child Health Research Foundation	Senjuti Saha et al
hCoV-19/Belize/BZ-CML-TCMC-BZ006-0920/2020	EPI_ISL_1822763		Central Medical Laboratory	Texas Children's Microbiome Center	Ruth Ann Luna et al
hCoV-19/Cameroon/CAM-20/2021	EPI_ISL_1972311		Laboratoire National de Santé Publique du Cameroun	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/RepublicoftheCongo/RC-021/2021	EPI_ISL_2978206		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/SouthKorea/KDCA4925/2021	EPI_ISL_2754411		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/SouthKorea/KDCA5118/2021	EPI_ISL_2754579		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Congo/FCRM-51-A33-01-07/2021	EPI_ISL_3040137		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-02-BOM35/2021	EPI_ISL_2889850		Fondation Congolaise pour la recherche medicale (FCRM)	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/HongKong/VM21029196/2021	EPI_ISL_2651126		HOME QUARANTINE TASKFORCE	Hong Kong Department of Health	Alan K.L. Tsang et al
hCoV-19/CentralAfricanRepublic/326/2021	EPI_ISL_2365417		WWF Bayanga field laboratory	WWF Bayanga field laboratory	S. Calvignac-Spencer et al
hCoV-19/Gabon/CERMEL-DD0149/2021	EPI_ISL_2434979		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
hCoV-19/Gabon/CERMEL-DD0336/2021	EPI_ISL_2442363		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
hCoV-19/Congo/FCRM-07-A30-26-06/2021	EPI_ISL_2889837		Fondation Congolaise pour la recherche medicale (FCRM)	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/RepublicoftheCongo/RC-055/2021	EPI_ISL_2978225		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/RepublicoftheCongo/RC-050/2021	EPI_ISL_2978220		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Congo/FCRM-18-A31-21-05/2021	EPI_ISL_2889834		Fondation Congolaise pour la recherche medicale (FCRM)	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-37-A5.01.07/2021	EPI_ISL_3040125		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-29-A2-26-06/2021	EPI_ISL_2964948		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-39-A14-12-07/2021	EPI_ISL_3040127		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Poland/PL_P6/2020	EPI_ISL_428929		ViroGenetics - BSL3 Laboratory of Virology; Human Genome Variation Research Group & Genomics Centre MCB; Bioinformatics Research Group; Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie	ViroGenetics - BSL3 Laboratory of Virology; Human Genome Variation Research Group & Genomics Centre MCB; Bioinformatics Research Group	Wojciech Branicki et al
hCoV-19/CzechRepublic/IAB20_016_090/2020	EPI_ISL_889396		Olomouc University Hospital	Institute of Applied Biotechnologies a.s.	Petr Klempt et al
hCoV-19/Montenegro/ChVir-1268662002/2020	EPI_ISL_516924		Department for Molecular Diagnostics, Centre for Medical Microbiology, Institute of Public Health of Montenegro	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/CostaRica/INC-0052/2020	EPI_ISL_512658		Area De Salud Orotina-San Mateo [Orotina/Alajuela]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Kenya/C7949/2020	EPI_ISL_568852	MW751312.1	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji et al 2020 et al
hCoV-19/Australia/SA0598/2020	EPI_ISL_755568		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Malaysia/IMR-CV139154/2020	EPI_ISL_718295		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al
hCoV-19/Malaysia/IMR-CV139206/2020	EPI_ISL_718298		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al
hCoV-19/NewZealand/20VR3128/2020	EPI_ISL_579426	MZ332419.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20VR3476/2020	EPI_ISL_579496	MZ332489.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Kenya/ICGEB-KEMRI-3_S19_S3_S17_S22/2020	EPI_ISL_2348626		KEMRI	KEMRI & ICGEB	Eric A Lelo et al
hCoV-19/Guatemala/GUA-LNS-54359/2020	EPI_ISL_2825130		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Slovenia/LabVir-4952/2020	EPI_ISL_960304		NLZOH, Laboratory for Virology	NLZOH, Laboratory for Virology	Katarina Prosenc (Laboratory for Virology) et al
hCoV-19/Australia/SA0212/2020	EPI_ISL_467989		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/NSW518/2020	EPI_ISL_455058		Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Qatar/QA-WCMQ_FD18272725/2020	EPI_ISL_1714710		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/Australia/ACT0074/2020	EPI_ISL_498534		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Turkey/HSGM-B10235/2021	EPI_ISL_2158035		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
hCoV-19/Turkey/HSGM-B15659/2021	EPI_ISL_3066694		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
hCoV-19/Belarus/MI-RII-MH11353S/2020	EPI_ISL_754231		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	WHO National Influenza Centre Russian Federation	Elena Gasich et al
hCoV-19/Gambia/33057/2021	EPI_ISL_2958631		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Ghana/WACCBIP-GS741/2021	EPI_ISL_2836862		WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Gambia/33059/2021	EPI_ISL_2958632		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
